collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments
10703,col,,12.883333,47.166668,"Eisenrichterstein, Germany",,Reef 1729,40,Priabonian,,38,33.9,Darga,1992,3977,DE,Bavaria,,,minutes,outcrop,"Small patch reefs with corals, encrusted by red algae.",gp_mid,18.72,38.32,307,DE,,,,,group of beds,,Eisenrichterstein,,,,,,Early Priabonian age based on larger foraminifera and calcareous nannoplankton (NP16-NP22).,Reef limestone,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,replaced with calcite,,,,,,,,,,frequent,frequent,,paleoecologic,"bulk,mechanical",,all microfossils,,,,,,
10963,col,,12.15,47.783333,"Kirchberg, Neubeuern, Germany",,Reef 1730,9,Priabonian,,38,33.9,Darga,1992,3977,DE,Bavaria,,,minutes,outcrop,Kirchberg between Neubeuern and Rordorf,gp_mid,15.98,41.42,305,DE,,,,,group of beds,Turborotalia cerroazulensis,,,,,,,Nannozone NP 19,rhodolitic marls,marl,,poorly lithified,,Y,packstone,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,replaced with calcite",good,,,,,,,poor,frequent,,,,paleoecologic,"bulk,mechanical,field collection,observed (not collected)",,all microfossils,,,,,,
10964,col,Um ad Dahiy,18.133333,29.75,Sirt Basin,,Reef 1600,24,Rupelian,,33.9,28.1,Hladil et al.,1991,4061,LY,,,estimated from map,minutes,outcrop,North of Al Hufrah Oil Fields,gp_mid,20.36,21.64,715,LY,,Um ad Dahiy,,,formation,,,,,,,,Age given as Rupelian but many Chattian and lower Miocene corals are also present.\r\nRupelian age confirmed by Imam and Galmed (2000). PJW: Was Umm ad Dahiy,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",cratonic basin,"Thickness of Umm ad Dahiy Fm. in area of reef development is 10-23 m. Upper part with silty claystones, locally with plant fossils.",macrofossils,,,,,,,,"body,replaced with calcite",good,autochthonous,,,,,,,,extreme,,Autochtonous reef limestone with little debris,paleoecologic,,,"all microfossils,some macrofossils",,,,,Only corals,Not all taxa were figured
11084,col,,4.433333,49.605556,"L'Epine Reef, France",,2362,26,Middle Oxfordian,,161.2,155.7,Bertling and Insalaco,1998,4076,FR,,,,seconds,outcrop,Quarry between Le Ronceau and Novion-Porcien (Ardennes),gp_mid,20.32,32.57,315,FR,,,,,group of beds,plicatilis,,,,,,,antecedens subzone of plicatilis zone or transversarium zone.\r\nLate middle Oxfordian,,carbonate,,lithified,,,,,,,,"reef, buildup or bioherm",,In situ reefs,,,,,,,,,"body,original calcite,replaced with calcite",,autochthonous,snapshot,,,,,,,frequent,occasional,In situ reefs,paleoecologic,"surface (in situ),mechanical,field collection",,all microfossils,,,,,,
11085,col,,4.433333,49.605556,"L'Epine Reef Rubble, France",,Reef 2362,26,Middle Oxfordian,,161.2,155.7,Bertling and Insalaco,1998,4076,FR,,,,seconds,outcrop,Quarry between Le Ronceau and Novion-Porcien (Ardennes),gp_mid,20.32,32.57,315,FR,,,,,group of beds,plicatilis,,,,,,,antecedens subzone of plicatilis zone or transversarium zone.\r\nLate middle Oxfordian,,carbonate,,lithified,,,,,,,,"reef, buildup or bioherm",,Reef rubble,,,,,,,,,"body,original calcite,replaced with calcite",,parautochthonous,time-averaged,,,,,,,frequent,occasional,Reef rubble,paleoecologic,"bulk,mechanical,field collection",,all microfossils,,,,,,
11287,col,,-107.666664,31.6,"Sierra de Aguilas, Mexico",,Reef 3004,7,Oxfordian,Kimmeridgian,163.5,152.1,Reyeros de Castillo,1974,4153,MX,Chihuahua,,,minutes,local area,,gp_mid,-42.24,19.23,101,MX,,,,,,,,,,,,,Stratigraphy only based on corals. Most likely Kimmeridgian but uncertain,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,"body,replaced with calcite",,,,,,life position,,,,,,,taxonomic,field collection,,,,,,,,
11289,col,,67.833336,24.75,"Jhirk, Sind, Pakistan",,Reef 3171,49,Selandian,Thanetian,61.6,56,Duncan,1880,4154,PK,Sind,,,minutes,local area,"Lynyan, Kandaira",gp_mid,65.51,-9.58,501,PK,,,Ranikot,,formation,,,,,,,,"Age assignment based on stratigraphic correlation with NE India: Jauhri, A.K., and Agarwal, K.K., 2001, Early Palaeogene in the south Shillong Plateau, NE India: local biostratigraphic signals of global tectonic and oceanic changes: Palaeogeography, Palaeoclimatology, Palaeoecology, v. 168, p. 187-203.",,,,,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,,,,taxonomic,"field collection,survey of museum collection",,some macrofossils,,,,,,
11290,col,,67.76667,25.966667,"Maliri, Sind, Pakistan",,Reef 3170,16,Bartonian,,41.3,38,Duncan,1880,4154,PK,Sind,,,minutes,local area,Watwaro Range,gp_mid,68.51,7.75,501,PK,,,Khirtar,,,,,,,,,,"Age assignment based on stratigraphic correlation with NE India: Jauhri, A.K., and Agarwal, K.K., 2001, Early Palaeogene in the south Shillong Plateau, NE India: local biostratigraphic signals of global tectonic and oceanic changes: Palaeogeography, Palaeoclimatology, Palaeoecology, v. 168, p. 187-203.",,,,,,,,,,,,"reef, buildup or bioherm",,Unclear if real reef,,,,,,,,,,,,,,,,,,,,,,taxonomic,"field collection,survey of museum collection",,some macrofossils,,,,,,
11292,col,,67,25,"Magar Pir, Karachi, Sind, Pakistan",,Reef 3097,40,Burdigalian,,20.44,15.97,Duncan,1880,4154,PK,Sind,,,degrees,local area,"Maki Nai, Gaj River, Bill, Naigh Nai",gp_mid,67.74,16.22,501,PK,,,Gaj,,formation,,,,,,,,Age broadly defined as Miocene but above presumable Lower Miocene and below suspect Upper Miocene/Pliocene.\r\nMore recent data suggest an Early Miocene (Burdigalian) age for the Gaj series (or formation),,limestone,,,,,sandstone,,,,,"reef, buildup or bioherm",,Unclear if real reef,,,,,,,,,,,,,,,,,,,,,,taxonomic,"field collection,survey of museum collection",,some macrofossils,,,,,,
11302,col,,29.950001,51.566666,"Pripijat River, NW Donetz Basin, Belarus",,Reef 3098,6,Oxfordian,Kimmeridgian,163.5,152.1,Kanskiy,1968,4156,BY,,,,minutes,local area,Well data,gp_mid,38.98,38.39,302,BY,,,,,,,,,,,,,,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,,,,general faunal/floral,,,,,,,,,
11410,col,,16.25,46,"Donje Oresje, Mt. Medvednica - Coral bioherms",,Reef 1193,20,Santonian,Early Campanian,86.3,70.6,Polsak et al.,1978,4165,HR,,,based on nearby landmark,minutes,local area,"5 km N' Zelina, 25 km NE' of Zagreb",gp_mid,25.79,28.96,308,HR,,,,,,,,,,,,,Age mostly based on rudist assemblage,Coral bioherms,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,"body,replaced with calcite",,,,,,,,,,occasional,,,taxonomic,peel or thin section,,all microfossils,,,,,,
13354,col,Nago Limestone,10.884722,45.886112,"Nago, Italy",,Reef 2319,16,Priabonian,,38,33.9,Bosellini,1998,5994,IT,,,,seconds,outcrop,North of Nago (near Lake Garda),gp_mid,16.55,37.54,307,IT,,Nago Limestone,,,,,F3,1,,,,,,"Massive coral beds (total thickness 12 m), clinostratified",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",passive margin,,,,,,,,,,"cast,original calcite,replaced with calcite",good,autochthonous,snapshot,,,,,,,occasional,,,paleoecologic,"field collection,observed (not collected)",,all microfossils,,,,,,
20816,col,Calcaire de Vigny,1.933333,49.083332,"Vigny, Paris Basin",,Reef 2768,3,Danian,,66,61.6,Pacaud et al.,2000,6432,FR,,,based on nearby landmark,minutes,local area,,gp_mid,10.76,37.88,305,FR,,Calcaire de Vigny,,,formation,NP3-4,,,,,,,Age based on planktonic foraminifers and calcareous nannoplankton,,limestone,,lithified,,Y,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,cast,medium,,time-averaged,,,,,,,,,,taxonomic,"mechanical,field collection,survey of museum collection",,"all microfossils,some macrofossils",,,,,,
21166,col,,125.949997,-8.816667,"Fatu Laculequi, Timor",,Reef 98,9,Norian,,228,208.5,Wanner,1956,6483,TL,,,based on nearby landmark,minutes,outcrop,,gp_mid,99.25,-30.81,680,TL,,,,,,,,,,,,,,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,"body,cast,replaced with calcite,replaced with silica",,,,,,life position,,,,,,,biostratigraphic,,,,,,,,,
21180,col,,125.949997,-8.8,"Fatu Naruc II, Timor",,Reef 98,5,Norian,,228,208.5,Wanner,1956,6483,TL,,,based on nearby landmark,minutes,small collection,"Left shore of Mota Mutin, north of Pualaca",gp_mid,99.26,-30.8,680,TL,,,,,group of beds,,,,,,,,,,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,,,,,,,,,
21251,col,,-127.133331,54.383331,"Telkwa Range, Canada",,107,4,Late Sinemurian,,196.5,189.6,Stanley and Beauvais,1994,6529,CA,British Columbia,,stated in text,minutes,outcrop,,gp_mid,-58.75,26.41,127,CA,,,,,group of beds,,,,,,,,Age based on ammonites and bivalves collected in adjacent strata,"Coral reef with three growth phases, covered by hardground.\r\n44 m thick. ",framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,medium,,,,dispersed,,,,occasional,frequent,,,paleoecologic,,,all microfossils,,,,,,Only corals described in detail
21253,col,Cerro de Oro,-110.666664,29.75,"Cerro de Oro I, Mexico",,Reef 2683,21,Barremian,Early Aptian,129.4,122.46,Baron-Szabo and González-León,1999,6530,MX,,,based on nearby landmark,minutes,outcrop,,gp_mid,-50.41,33.81,101,MX,,Cerro de Oro,Bisbee,,group of beds,,,,,,,,,Bioherms up to 10 m high and 100 m long,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,good,autochthonous,,,,,,,,,,,taxonomic,peel or thin section,,"all microfossils,some macrofossils",,,,,,
21254,col,Mural Limestone,-110.666664,29.75,Cerro de Oro II,,Reef 2684,22,Early Albian,,112.03,109,Baron-Szabo and González-León,1999,6530,MX,,,estimated from map,minutes,outcrop,,gp_mid,-60.63,37.56,101,MX,,Mural Limestone,Bisbee,,group of beds,,,,,,,,,"Bioherms up to 10 m thick and 700 m long.\r\nboundstones of colonial corals, stromatoporoids, rudists and other bivalves.",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,occasional,,,taxonomic,,,"all microfossils,some macrofossils",,,,,,
21255,col,Espinazo del Diablo,-109.5,29.200001,"Lampazos, Mexico",,Reef 2685,12,Middle Albian,,109,105.3,Baron-Szabo and González-León,1999,6530,MX,,,based on nearby landmark,minutes,outcrop,,gp_mid,-62.77,36.7,101,MX,,Espinazo del Diablo,,,group of beds,,,,,,,,,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,occasional,,,taxonomic,peel or thin section,,"all microfossils,some macrofossils",,,,,,
21257,col,,9.25,52.183334,"Amelungsberg, Süntel, Germany",,Reef 1338,14,Late Oxfordian,,161.2,155.7,Helm and Schülke,1999,6531,DE,,,based on nearby landmark,minutes,outcrop,,gp_mid,23.36,35.66,315,DE,,,,,group of beds,cautisnigrae,,,,,,,subzone variocostatus of cutisnigrae zone. Basal upper Oxfordian,"4 m thick coral bank with branching corals, overlying oolites",framestone,,lithified,,,,,,,,"reef, buildup or bioherm",cratonic basin,,,,,,,,,,,medium,,,,,,,,,frequent,,,paleoecologic,peel or thin section,,,,,,,,
21259,col,Robertson,-119.5,44.099998,Suplee-Izee,,Reef 111,1,Late Pliensbachian,,189.6,183,Fraser et al.,2004,11270,US,Oregon,,stated in text,minutes,local area,"collection includes data from Cow Creek, Swamp Creek, Jackass Ranch, Robertson Ridge",gp_mid,-46.01,24.27,129,US,FED,Robertson,Mowich,,group of beds,,,,,,,,,"limestone lenses dominated by Lithiotis problematica assemblages. Sediment between Lithiotis valves alternates between gray calcareous muds at the base to sandy limestones at the top of the buildups. Buildups vary in size from 1-10 m thick, the tops of the flank beds are inclined 3-5°.",sandstone,"volcaniclastic,green",lithified,,,bafflestone,,lithified,,Y,"reef, buildup or bioherm",volcanic basin,"shallow-water, nearshore environment",macrofossils,,,,,,,,body,medium,,,,,preferred,,,,occasional,occasional,highly abraded and broken shells with rounded edges,paleoecologic,"peel or thin section,survey of museum collection,observed (not collected)",,,,,,,,
21261,col,,-9.066667,30.716667,"Assemsouk, High Atlas, Morocco",,Reef 471,3,Late Pliensbachian,Early Toarcian,189.6,182,Lee,1983,6533,MA,,,stated in text,minutes,outcrop,north flank of Jebel Azourki,gp_mid,-0.19,26,707,MA,,,,,,,,,,,,,,"massive beds of pure limestone; reef structure 90 m high, 1250 m long",bafflestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,microfossils",,,,,,,,body,,autochthonous,,,,life position,,,,occasional,,,general faunal/floral,"peel or thin section,survey of museum collection,observed (not collected)",,,,,,,,
21267,col,,17.833332,54.75,"Czarnoglowy, Pomerania, Poland",,Reef 3005,1,Late Kimmeridgian,,155.7,150.8,Roniewicz,1977,6534,PL,,,based on nearby landmark,minutes,small collection,,gp_mid,27.09,38.93,302,PL,,,,,,Aulacostephanus pseudomutabilis,,,,,,,,Monospecific clusters of Thamnasteria,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,,,,taxonomic,,,"all microfossils,some macrofossils",,,,,,
21269,col,,6.066667,49.183334,"Malancourt, Lorraine, France",,Reef 505,6,Early Bajocian,,171.6,168.4,Hallam,1975,6535,FR,,,based on nearby landmark,minutes,outcrop,,gp_mid,27.87,34.59,315,FR,,,,,,,,,,,,,,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,autochthonous,,,,,,,,occasional,,,paleoecologic,,,,,,,,,
21273,col,Marnes à coraux de Foug,5.783333,48.683334,"Foug, coral marl",,Reef 3160,11,Middle Oxfordian,,161.2,155.7,Insalaco,1996,6537,FR,Lorraine,,based on nearby landmark,minutes,outcrop,,gp_mid,21.53,31.81,305,FR,,Marnes à coraux de Foug,,,member,Maltonense-Tenuiserratum,,,,,,,"PJW: Formation from Carpentier, Lathuilière, Ferry & Sausse 2007","Coral marl, microsolenid biostrome unit 2",reef rocks,,lithified,,,marl,,lithified,,Y,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
21274,col,Calcaires à coraux de Foug,5.783333,48.683334,"Foug, coral limestone",,Reef 3160,13,Middle Oxfordian,,161.2,155.7,Insalaco,1996,6537,FR,Lorraine,,based on nearby landmark,minutes,outcrop,,gp_mid,21.53,31.81,305,FR,,Calcaires à coraux de Foug,,,group of beds,Maltonense-Tenuiserratum,,,,,,,"PJW: Formation from Carpentier, Lathuilière, Ferry & Sausse 2007","Coral limestone, microsolenid biostrome unit 1",reef rocks,,lithified,,Y,marl,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
22735,col,St. Ursanne,7.425,47.406944,"Liesberg, Jura, Switzerland",,Reef 1339,15,Middle Oxfordian,,161.2,155.7,Insalaco,1996,6537,CH,,,based on nearby landmark,seconds,outcrop,,gp_mid,23.06,30.74,305,CH,,St. Ursanne,,Liesberg,,Plicatilis,,,,,,,,,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,"Mid-Oxfordian microsolenid biostrome.\r\nCorals moderately diverse, extremely rich associated faunas.\r\n30-70 % skeletal biovolume.\r\nBelow St. Ursanne reefs.",
22736,col,,3.616667,47.533333,"Chatel-Censoir, Yonne, France",,Reef 589,14,Late Oxfordian,,161.2,155.7,Insalaco,1996,6537,FR,Burgundy,,based on nearby landmark,minutes,outcrop,,gp_mid,20.09,30.44,305,FR,,,,,,,,,,,,,Lower reef complex,Microsolenid biostrome at base of reef complex.\r\nSkeletal biovolume 40-70 %.,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
22737,col,West Walton,0.116667,52.183334,Upware,,Reef 544,8,Middle Oxfordian,,161.2,155.7,Insalaco,1996,6537,UK,England,Cambridgeshire,based on nearby landmark,minutes,outcrop,,gp_mid,16.61,34.69,315,UK,,West Walton,,Upware Limestone,member,Cardioceras maltonense - Cardioceras tenuiserratum,,,,,,,"PJW: Was in Perisphinctes bifurcatus zone (which is Late Oxfordian, not Middle!), but subsequent work puts West Walton in older Cardioceras maltonense - Cardioceras tenuiserratum zones. Also, this must be Upware Limestone.",Microsolenid biostrome with platy growth forms.\r\n30-50 % skeletal biovolume.,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,"Extremely rich associated fauna including epifaunal bivalves, crinoids, echinoids, serpulids, brachiopods, bryozoans, sponges and stromatolites"
22784,col,,-0.5,54.333332,"Ayton Reef, Yorkshire, England",,Reef 2637,3,Middle Oxfordian,,161.2,155.7,Insalaco,1999,6561,UK,Yorkshire,,based on nearby landmark,minutes,outcrop,,gp_mid,15.79,36.77,315,UK,,,,,,,,,,,,,,"Thamnasteria biolithite, corals form 90% of rock",framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,,,autochthonous,,,,,,,,occasional,frequent,,paleoecologic,bulk,,,,,,,,
22816,col,Coral Rag,-1.25,51.766666,Shellingford Crossroads,,Reef 546,4,Middle Oxfordian,,161.2,155.7,Insalaco,1999,6561,UK,England,Oxfordshire,based on nearby landmark,minutes,outcrop,,gp_mid,15.67,34.17,315,UK,,Coral Rag,,,group of beds,Cardioceras tenuiserratum,,,,,,,,Coral limestones (rudstones),reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,,,,,,,,,,occasional,,,paleoecologic,,,,,,,,,
22962,col,,33.866669,44.633331,"Voskhod, Crimea, Ukraine",,Reef 2636,13,Berriasian,,145,139.8,Arkadiev and Bugrova,1999,6609,UA,Crimea,,based on nearby landmark,minutes,outcrop,,gp_mid,45.57,30.45,302,UA,,,,,member,boissieri,,,,,,,Informally termed Bioherm member,"Small bioherms (3-5 m thick, 4 m wide) of hermatypic corals and algae. Maximum 6 m thick.\r\nIntermound areas filled with bioclastic grainstones and packstones with fragments of corals and others. ",framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils,microfossils",,,,,,,,body,poor,autochthonous,,,,life position,,,,frequent,,,paleoecologic,"mechanical,peel or thin section",,,,,,,,
22963,col,Adnet,13.166667,47.700001,"Adnet Reef, Austria",,Reef 5,9,Rhaetian,,208.5,201.3,Bernecker et al.,1999,6610,AT,,,based on nearby landmark,minutes,outcrop,Reef data from Tropfbruch and Kirchbruch combined,gp_mid,30.27,26.93,307,AT,,Adnet,,,member,,,,,,,,,,bafflestone,red or brown,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,replaced with calcite,good,,,,,life position,,very poor,occasional,occasional,frequent,,paleoecologic,peel or thin section,,difficult macrofossils,,,,,,
22968,col,,-1.05,43.75,"Le Bois, Escornebeou, Landes, France",,Reef 1985,23,Chattian,,28.1,23.03,Chaix and Cahuzac,2001,6613,FR,,,based on nearby landmark,minutes,outcrop,,gp_mid,2.72,39.49,305,FR,,,,,formation,,,,,,,,,Subreefal limestone with hermatypic and ahermatypic corals,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,life position,,,,occasional,,,taxonomic,mechanical,,,,,,,,
