"r_number","name","country","formation","system","series","intervall","max_ma","min_ma","time_slice_text","reliabilit","subsurface_text","type_text","thickness_text","m_thick","width_text","m_width","extension_text","m_ext","ext_belt","belonging","tropical_text","environment_text","subenvironment_text","bathymetry_text","biota_main_t","biota_sec_text","biota_deta_text","alg_type_text","p_lmc","p_arag","p_hmc","upwell_text","control_text","diversity_text","m_spec","guild_text","macro_bor_text","micro_bor_text","vert_zonat_text","hor_zonat_text","micrite_text","sparite_text","debris_text","dolomite_text","reservoir_text","latit","longit","collection","pal_lat_scotese","pal_long_scotese"
"2825","Line Islands, DSDP Leg 17, Site 165, Pacific","Pacific","","Cretaceous","Upper Cretaceous","Campanian-Maastrichtian","83.60","66.00","middle Campanian - Danian/Selandian","2","Outcropping reef","","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Rudists","Rudists","","","60","40","0","no","no","","","","","","","","","","","","No or unknown reservoir potential","8.1764","-164.8583","","-6.34351","-130.047"
"2826","Line Islands, DSDP Leg 33, Site 315","Kiribati","","Cretaceous","Upper Cretaceous","Campanian-Maastrichtian","83.60","66.00","middle Campanian - Danian/Selandian","2","Outcropping reef","","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Algae","Rudists","","Red algae","15","0","85","no","no","","","","","","","","","","","","No or unknown reservoir potential","4.1708","-158.525","","-11.2796","-118.699"
"3970","Kaena Point, Oahu, Hawaii","United States","Waimanalo","Neogene","Pleistocene","upper Pleistocene","0.10","0.00","Recent","3","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","21.5667","-158.2667","89292","21.1184","-157.582"
"3986","Atiu","Cook Islands","","Neogene","Pleistocene","middle Pleistocene","0.80","0.10","Recent","3","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","","Unknown","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","-19.9833","-158.1167","89569","-20.1851","-157.773"
"3969","Kahuku Point, Oahu, Hawaii","United States","Waimanalo","Neogene","Pleistocene","upper Pleistocene","0.10","0.00","Recent","3","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","21.6167","-158.0667","89290","21.5943","-158.032"
"3255","South Coast, Oahu, Hawaii","United States","Waimanalo","Neogene","Pleistocene","upper Pleistocene","0.10","0.00","Recent","3","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","6 to 24 reef building species","15","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","21.3333","-157.9667","22975","21.3109","-157.932"
"3161","Off Oahu, Hawaii","United States","","Neogene","Pliocene","upper Pliocene?","3.60","2.60","Tortonian - Gelasian","2","Seismic data available","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Corals","Corals","Corals only","","0","100","0","no","no","6 to 24 reef building species","10","","","","","","","","","","No or unknown reservoir potential","21.25","-157.9333","22974","19.8673","-155.817"
"3971","Oahu, Mokapu and Hahaione, Hawaii","United States","Waimanalo","Neogene","Pleistocene","upper Pleistocene","0.10","0.00","Recent","2","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","21.45","-157.7167","89294","21.4276","-157.682"
"3985","Mitiaro","Cook Islands","","Neogene","Pleistocene","upper Pleistocene","0.10","0.00","Recent","3","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","","Unknown","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","-19.8167","-157.7167","89568","-19.8391","-157.678"
"3987","Mauke","Cook Islands","","Neogene","Pleistocene","middle/late Pleistocene","0.80","0.00","Recent","3","Outcropping reef","True reef","","","","","","","","","Tropical or unknown","","Unknown","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","-20.15","-157.3333","89570","-20.3288","-157.027"
"2827","Line Islands, DSDP Leg 33, Site 316","Kiribati","","Cretaceous","Upper Cretaceous","Campanian-Maastrichtian","83.60","66.00","middle Campanian - Danian/Selandian","2","Outcropping reef","","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Rudists","Rudists","","","60","20","20","no","no","","","","","","","","","","","","No or unknown reservoir potential","0.0903","-157.1278","","-15.1587","-116.763"
"1883","Lime Hills, Holitna Basin, Sleetmute, Alaska","United States","","Devonian","Lower Devonian","Pridoli-Pragian","423.00","407.60","middle Pridolian - middle Pragian","1","Outcropping reef","Mud mound or bank","101-500 m thick","500","","","More than 1000 m","","300","","Tropical or unknown","Shelf or Platform margin","Margin of deep basins (shelf margin)","Above fair weather wave base","Microbes","Calcisponges","Siliceous sponges - calcisponges - microbes - (algae)","","0","100","0","no","no","Less than 6 reef building species","","Binder guild","","","","","More than 60% micrite","10-25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","61.6667","-156.8333","","13.2886","-51.8939"
"3973","Offshore Lanai, Hawaii","United States","","Neogene","Pleistocene","upper Pleistocene","0.10","0.00","Recent","3","Outcropping reef","Biostrome","Less than 10 m thick","","10 - 100 m wide","","10 - 100 m","","","","Temperate","Ramp or Slope","Upper slope or inner ramp","Below fair weather wave base","Algae","Algae","Coralline algae only (some corals)","Red algae","0","10","90","no","no","","","Binder guild","","","","","","","","","No or unknown reservoir potential","20.6667","-156.7","89415","20.6444","-156.666"
"1451","N Holitna Basin, Sleetmute, Alaska","United States","","Devonian","Lower Devonian","Pridolian/Pragian","423.00","407.60","middle Pridolian - middle Pragian","2","Outcropping reef","Mud mound or bank","101-500 m thick","","","","More than 1000 m","","95","1450","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Above fair weather wave base","Microbes","Microbes","Microbes/stromatolites  - (cements) - (worm tubes)","","","","","no","no","Less than 6 reef building species","","Microbial precipitation","","","","","More than 60% micrite","10-25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","62.1667","-156","75775","8.41956","-49.6198"
"3016","N Holitna Basin, Sleetmute, Alaska","United States","","Devonian","Lower Devonian","Lochkovian/Pragian","419.20","407.60","middle Pridolian - middle Pragian","2","Outcropping reef","Mud mound or bank","101-500 m thick","","","","More than 1000 m","","95","1450","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Above fair weather wave base","Microbes","Microbes","Microbes/stromatolites  - (cements) - (worm tubes)","","","","","no","no","Less than 6 reef building species","","Binder guild","","","","","More than 60% micrite","More than 25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","62.1667","-156","","5.40617","-48.2134"
"3972","Haleakala Ridge, offshore Maui, Hawaii","United States","","Neogene","Pleistocene","middle Pleistocene","0.80","0.10","Recent","3","Outcropping reef","","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","","Present","Present","","","","","","","No or unknown reservoir potential","20.7","-155.6833","89410","20.5004","-155.377"
"52","Iliamna, Alaska","United States","","Triassic","Upper Triassic","Norian","228.00","208.50","late Carnian - middle Hettangian","2","Outcropping reef","Reef mound","10 to 100 m thick","","","","10 - 100 m","","","","Tropical or unknown","Basin","Unknown","Below fair weather wave base","Calcisponges","Corals","Corals - calcareous sponges (hydrozoans) - solenoporaceans - (Tubiphytes) - (bryozoans)","","0","100","0","no","no","6 to 24 reef building species","10","Baffler guild","","","","","More than 60% micrite","Less than 10% sparite","Low production of reefal debris","","No or unknown reservoir potential","59.5","-155.5","33407","5.47097","-80.9865"
"1370","Puale Bay, Alaska","United States","","Triassic","Upper Triassic","upper Norian","214.00","208.50","late Carnian - middle Hettangian","3","Outcropping reef","Biostrome","Less than 10 m thick","45","","","More than 100 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Open-marine shelf","Above fair weather wave base","Corals","Stromatoporoids","Scleractinian corals - (chaetetids, stromatoporoids-hydrozoans-spongiomorphids) - algae - microbes","","10","90","0","no","no","6 to 24 reef building species","","Baffler guild","","","","","More than 60% micrite","Less than 10% sparite","Medium production of reefal debris","","No or unknown reservoir potential","57.75","-155.4833","","3.54603","-82.5214"
"1450","White Mountain, McGrath, Alaska","United States","","Devonian","Lower Devonian","Pridolian/Pragian","423.00","407.60","middle Pridolian - middle Pragian","2","Outcropping reef","Reef mound","101-500 m thick","500","","","More than 1000 m","","95","","Tropical or unknown","Ramp or Slope","Upper slope or inner ramp","Above fair weather wave base","Microbes","Calcisponges","Microbes/stromatolites  - (cements) - (worm tubes)","","0","100","0","no","no","Less than 6 reef building species","","Binder guild","","","","","More than 60% micrite","10-25% sparite","Medium production of reefal debris","","No or unknown reservoir potential","62.8333","-155.3333","","7.94107","-49.0571"
"2080","Bora-Bora, Polynesia, Pacific","Pacific","","Neogene","Pliocene","Pliocene","5.30","2.60","Tortonian - Gelasian","3","Outcropping reef","True reef","101-500 m thick","","","","More than 1000 m","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","","","","","","","","","No or unknown reservoir potential","-16.5","-151.7167","","-18.1956","-148.642"
"2652","Rurutu, Polynesia","Pacific","","Neogene","Miocene","Upper Miocene","11.60","5.30","Tortonian - Gelasian","2","Outcropping reef","True reef","10 to 100 m thick","60","","","More than 1000 m","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","6 to 24 reef building species","","Constructor guild","Present","Present","Medium zonation","","Less than 30% micrite","Less than 10% sparite","High production of reefal debris","","Potential reservoir","-22.45","-151.35","","-26.1998","-143.188"
"3984","Faaa, Tahiti","French Polynesia","","Neogene","Pleistocene","Pleistocene","2.60","0.00","Recent","2","Seismic data available","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Margin of deep basins (shelf margin)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","60","40","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","-17.55","-149.6167","89556","-17.9773","-148.836"
"3951","Papeete, cores P7, P8, Tahiti","French Polynesia","","Neogene","Pleistocene","upper Pleistocene","0.10","0.00","Recent","3","Seismic data available","True reef","10 to 100 m thick","30","10 - 100 m wide","","More than 100 m","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","","0","80","20","no","no","","","","","","","","","","","","No or unknown reservoir potential","-17.5333","-149.5667","88958","-17.9604","-148.786"
"3983","Maraa western transect, Tahiti","French Polynesia","","Neogene","Pleistocene","Pleistocene","2.60","0.00","Recent","2","Seismic data available","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Margin of deep basins (shelf margin)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","-17.7667","-149.5667","89555","-18.3214","-148.549"
"3982","Tiarei outer ridge, Tahiti","French Polynesia","","Neogene","Pleistocene","Pleistocene","2.60","0.00","Recent","2","Seismic data available","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Margin of deep basins (shelf margin)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","60","40","no","no","","","Constructor guild","Present","Present","","","","","","","No or unknown reservoir potential","-17.4667","-149.4","89554","-18.0208","-148.384"
"791","Mataiva, Tuamotu Islands, Pacific","France","","Neogene","Miocene","lower Miocene","23.00","16.00","Chattian - Aquitanian","2","Seismic data available","True reef","101-500 m thick","105","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-14.8167","-148.5667","","-20.1445","-134.871"
"792","Mataiva II, Tuamotu Islands, Pacific","France","","Neogene","Miocene","lower Miocene","23.00","16.00","Burdigalian - Serravallian","1","Seismic data available","True reef","10 to 100 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-14.8167","-148.5667","","-19.2147","-138.122"
"793","Mataiva III, Tuamotu Isl., Pacific","France","","Neogene","Upper Neogene","Late Miocene/Pliocene","11.60","2.60","Tortonian - Gelasian","1","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-14.8167","-148.5667","","-17.5779","-142.951"
"794","Makatea, Tuamotu Islands, Pacific","France","","Neogene","Miocene","lower Miocene","23.00","16.00","Chattian - Aquitanian","2","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-16.1667","-148.2333","","-21.4791","-134.464"
"795","Makatea II, Tuamotu Islands, Pacific","France","","Neogene","Miocene","lower Miocene","23.00","16.00","Burdigalian - Serravallian","1","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Algae, microbes - bryozoans - corals - (sponges/stromatoporoids)","Red algae","10","60","30","no","no","","","Constructor guild","Present","Present","Medium zonation","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-16.1667","-148.2333","","-21.4791","-134.464"
"796","Makatea III, Tuamotu Isl., Pacific","France","","Neogene","Upper Neogene","Late Miocene/Pliocene","11.60","2.60","Tortonian - Gelasian","1","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-16.1667","-148.2333","","-18.9202","-142.581"
"797","Rangiroa, Tuamotu Islands, Pacific","France","","Neogene","Miocene","lower Miocene","23.00","16.00","Chattian - Aquitanian","2","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-15","-147.6667","","-20.2893","-133.936"
"798","Rangiroa II, Tuamotu Isl., Pacific","France","","Neogene","Miocene","lower Miocene","23.00","16.00","Burdigalian - Serravallian","1","Seismic data available","True reef","10 to 100 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-15","-147.6667","","-20.3718","-133.639"
"799","Rangiroa III, Tuamotu Isl., Pacific","France","","Neogene","Upper Neogene","Late Miocene/Pliocene","11.60","2.60","Tortonian - Gelasian","1","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-15","-147.6667","","-17.7412","-142.034"
"2828","Line Islands, DSDP Leg 33, Site 318, Pacific","Pacific","","Paleogene","Eocene","late Eocene","38.00","33.90","Priabonian - Rupelian","2","Seismic data available","","","","","","","","","","Tropical or unknown","","Unknown","","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","","","","","","","Medium production of reefal debris","","No or unknown reservoir potential","-14.8222","-146.8583","","-22.413","-124.707"
"800","Kaukura, Tuamotu Islands, Pacific","France","","Neogene","Miocene","lower Miocene","23.00","16.00","Chattian - Aquitanian","2","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","-15.7833","-146.6667","","-21.0275","-132.869"
